# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 721  of event 'cpu/mem-loads/pp'
# Total weight : 15608
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                                                         Shared Object      Data Symbol                                   Data Object                                   Snoop         TLB access              Locked
# ........  ............  ............  ........................  .............................................................................  .................  ............................................  ............................................  ............  ......................  ......
#
     0.13%             1  21            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f7743f0                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  21            LFB hit                   [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f9f2558                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  21            LFB hit                   [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e009260                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  21            LFB hit                   [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6f95ed10                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  21            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e505410                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  20            L1 hit                    [.] mo_lin_matrix_mp_linmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc395f8                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  20            L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6dc399b8                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  20            L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6dc39b10                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  20            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc38138                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  20            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc36f60                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  20            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f7ecdf0                        [stack]                                       None          L1 or L2 hit            No    
     0.13%             1  20            L2 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6f12be00                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  19            L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6dc398c8                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  19            L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x0000000000621b90                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.12%             1  19            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc39710                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  19            L2 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6fa59810                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6dc39ab8                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6e1e5170                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L1 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6f153760                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc38fb0                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc39760                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6dc38b10                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f36c750                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc38e50                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L2 hit                    [.] mo_lin_matrix_mp_linmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc393b8                        [stack]                                       None          L1 or L2 hit            No    
     0.12%             1  18            L2 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6e4d6f70                        [stack]                                       None          L1 or L2 hit            No    
     0.11%             1  17            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f138660                        [stack]                                       None          L1 or L2 hit            No    
     0.11%             1  17            L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x0000000000622710                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.11%             1  17            L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x0000000000622710                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.11%             1  17            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x0000000000621d10                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.11%             1  17            L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc37350                        [stack]                                       None          L1 or L2 hit            No    
     0.11%             1  17            L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc39110                        [stack]                                       None          L1 or L2 hit            No    
     0.11%             1  17            LFB hit                   [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6efc67c0                        [stack]                                       None          L1 or L2 hit            No    
     0.11%             1  17            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6defab90                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f68d2fc                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e1f3670                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e2e59c0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L1 hit                    [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6dcad6f0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc393f8                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            LFB hit                   [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6fa7a2a0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f045ab0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            LFB hit                   [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6f7dcfa0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            LFB hit                   [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6f7a1de0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L2 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6fa2bfd0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e6ad310                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L2 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f9de4f0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  16            L2 hit                    [k] perf_pmu_sched_task                                                        [kernel.kallsyms]  [k] __per_cpu_end+0xffff88202650f380          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f035840                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f688a30                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f6c9af4                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_factor_mp_lu_fac02_                                                  kernel-858.exe     [.] 0x00007fff6e332100                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_factor_mp_lu_fac08_                                                  kernel-858.exe     [.] 0x00007fff6e3a2f90                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6e5d8410                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6e1d0210                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e3c3520                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6dc39968                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6dc39a00                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6e306830                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6dc39850                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc39928                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc39898                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc38cf0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc39538                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc38a58                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f806cf0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            LFB hit                   [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f6f1ecc                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L2 hit                    [.] mo_lin_matrix_mp_linmat01_                                                 kernel-858.exe     [.] 0x00007fff6f7b48d0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L2 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6df625e0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L2 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6de4e2c0                        [stack]                                       None          L1 or L2 hit            No    
     0.10%             1  15            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e6591d0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f978eb8                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6fb12e0c                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6fc7483c                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f1a2d70                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lin_matrix_mp_linmat01_                                                 kernel-858.exe     [.] 0x00007fff6f841860                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lin_matrix_mp_linmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc397e0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6dd450f0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e27f920                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6e38e2f0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6e34a4a0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e3c4260                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e2148d0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e290fb0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e582f70                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6dc39630                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6dc9e430                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6f128e30                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6e2800f0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6dc48ee0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6dd52580                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc39660                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc391f0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6f90f370                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6dc39880                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_nln_matrix_mp_nlnmat07_                                                 kernel-858.exe     [.] 0x00007fff6f772470                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc30f70                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc394a0                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            LFB hit                   [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6dc39948                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc384f8                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L2 hit                    [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6fac5450                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             1  14            L2 hit                    [k] update_rq_clock.part.74                                                    [kernel.kallsyms]  [k] __per_cpu_end+0xffff88103fcffc20          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.09%             2  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00000000006213b0                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.09%             2  7             L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6dc39340                        [stack]                                       None          L1 or L2 hit            No    
     0.09%             2  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6dc39430                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6f7fe8a0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f082170                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f110b20                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f111af0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e4935c0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6e3fa6a0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e20a160                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6dc39728                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6dc392e8                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6dc394b8                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6dc39550                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc386b0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc38870                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc398d0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc38870                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc38fd0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc35ed0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  13            L2 hit                    [k] handle_mm_fault                                                            [kernel.kallsyms]  [k] __per_cpu_end+0xffff880b5174da68          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [k] alloc_pages_vma                                                            [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4ee978          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [k] dput                                                                       [kernel.kallsyms]  [k] __per_cpu_end+0xffff880a7f4eea98          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [k] lprocfs_counter_sub                                                        [obdclass]         [k] __per_cpu_end+0xffff880a7f4ee6f8          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6ef9efa0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f139938                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_indprd_mp_indprd_                                                       kernel-858.exe     [.] 0x00007fff6f87b260                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e491240                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6dc39ad8                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6e4a4190                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6dc39a98                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6e5d4690                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e5b4960                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6dc39638                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e1f1130                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e21a2f0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e5556a0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6dc396d0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6dc39718                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc398b0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc38fa8                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc39338                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc39438                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6dc39850                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat07_                                                 kernel-858.exe     [.] 0x00007fff6dc39958                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc37fc0                        [stack]                                       None          L1 or L2 hit            No    
     0.08%             1  12            L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc38298                        [stack]                                       None          L1 or L2 hit            No    
     0.07%             1  11            L1 hit                    [k] cfs_hash_nl_unlock                                                         [libcfs]           [k] __per_cpu_end+0xffff880a7f4ee6f0          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.07%             1  11            L1 hit                    [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f78e2e4                        [stack]                                       None          L1 or L2 hit            No    
