# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 721  of event 'cpu/mem-loads/pp'
# Total weight : 15608
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                                                         Shared Object      Data Symbol                                   Data Object                                   Snoop         TLB access              Locked
# ........  ............  ............  ........................  .............................................................................  .................  ............................................  ............................................  ............  ......................  ......
#
     0.49%             1  77            L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc38530                        [stack]                                       None          L1 or L2 hit            No    
     0.49%             1  76            L3 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6fa8e050                        [stack]                                       None          L1 or L2 hit            No    
     0.47%             1  74            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f2c79e0                        [stack]                                       None          L1 or L2 hit            No    
     0.46%             1  72            LFB hit                   [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6f79c820                        [stack]                                       None          L1 or L2 hit            No    
     0.44%             1  69            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f04ae10                        [stack]                                       None          L1 or L2 hit            No    
     0.44%             1  69            LFB hit                   [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6fa1f330                        [stack]                                       None          L1 or L2 hit            No    
     0.43%             1  67            L3 miss                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6de4d800                        [stack]                                       N/A           L1 or L2 hit            No    
     0.41%             1  64            LFB hit                   [.] __intel_ssse3_rep_memcpy                                                   kernel-858.exe     [.] 0x00007fff6f82f7a0                        [stack]                                       None          L1 or L2 hit            No    
     0.41%             1  64            L3 miss                   [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6f73af80                        [stack]                                       N/A           L1 or L2 hit            No    
     0.40%             1  62            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f4f2c60                        [stack]                                       None          L1 or L2 hit            No    
     0.40%             1  62            LFB hit                   [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e124350                        [stack]                                       None          L1 or L2 hit            No    
     0.40%             1  62            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e6d3ca0                        [stack]                                       None          L1 or L2 hit            No    
     0.40%             1  62            L3 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6e171f00                        [stack]                                       None          L1 or L2 hit            No    
     0.40%             1  62            L3 miss                   [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6f76eb40                        [stack]                                       N/A           L1 or L2 hit            No    
     0.39%             1  61            L3 miss                   [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6fa9e340                        [stack]                                       N/A           L1 or L2 hit            No    
     0.38%             1  59            LFB hit                   [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6f94c890                        [stack]                                       None          L1 or L2 hit            No    
     0.37%             1  58            L3 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6f7693d0                        [stack]                                       None          L1 or L2 hit            No    
     0.37%             1  57            LFB hit                   [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e500a10                        [stack]                                       None          L1 or L2 hit            No    
     0.37%             1  57            LFB hit                   [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6fa5bf40                        [stack]                                       None          L1 or L2 hit            No    
     0.36%             1  56            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e005410                        [stack]                                       None          L1 or L2 hit            No    
     0.36%             1  56            L3 miss                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f319d80                        [stack]                                       N/A           L1 or L2 hit            No    
     0.35%             1  55            L2 hit                    [k] tcp_prequeue                                                               [kernel.kallsyms]  [k] sysctl_tcp_low_latency+0x0                [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.35%             1  54            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc346d0                        [stack]                                       None          L1 or L2 hit            No    
     0.35%             1  54            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6faba8d0                        [stack]                                       None          L1 or L2 hit            No    
     0.35%             1  54            L3 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e056350                        [stack]                                       None          L1 or L2 hit            No    
     0.35%             1  54            L3 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e4e5f40                        [stack]                                       None          L1 or L2 hit            No    
     0.35%             1  54            L3 miss                   [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6fab8a40                        [stack]                                       N/A           L1 or L2 hit            No    
     0.34%             1  53            LFB hit                   [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6e2ee550                        [stack]                                       None          L1 or L2 hit            No    
     0.34%             1  53            LFB hit                   [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6f744f50                        [stack]                                       None          L1 or L2 hit            No    
     0.34%             1  53            L3 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6e584c40                        [stack]                                       None          L1 or L2 hit            No    
